Year,State,Region,Population,Mortality,,Bchecks,,,,,,,,,,,,,,
2008,Virginia,South Region,7833496,806,"278,974",278.974,,,,,,,,,,,,,,
2008,Washington,West Region,6562231,566,"316,589",316.589,,,,,,,,,,,,,,
2008,West Virginia,South Region,1840310,235,"147,689",147.689,,,,,,,,,,,,,,
2008,Wisconsin,Midwest Region,5640996,425,"186,819",186.819,,,,,,,,,,,,,,
2008,Wyoming,West Region,546043,87,"49,255",49.255,,,,,,,,,,,,,,
2009,Alabama,South Region,4757938,824,"317,868",317.868,,,,,,,,,,,,,,
2009,Alaska,West Region,698895,96,"60,780",60.78,,,,,,,,,,,,,,
2009,Arizona,West Region,6343154,833,"215,379",215.379,,,,,,,,,,,,,,
2009,Arkansas,South Region,2896843,456,"209,842",209.842,,,,,,,,,,,,,,
2009,California,West Region,36961229,3027,"788,164",788.164,,,,,,,,,,,,,,
2009,Colorado,West Region,4972195,562,"313,641",313.641,,,,,,,,,,,,,,
2009,Connecticut,Northeast Region,3561807,171,"202,454",202.454,,,,,,,,,,,,,,
2009,Delaware,South Region,891730,74,"20,530",20.53,,,,,,,,,,,,,,
2009,District of Columbia,South Region,592228,104,369,0.369,,,,,,,,,,,,,,
2009,Florida,South Region,18652644,2299,"556,540",556.54,,,,,,,,,,,,,,
2009,Georgia,South Region,9620846,1237,"373,237",373.237,,,,,,,,,,,,,,
2009,Hawaii,West Region,1346717,46,"10,511",10.511,,,,,,,,,,,,,,
2009,Idaho,West Region,1554439,186,"99,243",99.243,,,,,,,,,,,,,,
2009,Illinois,Midwest Region,12796778,1044,"752,071",752.071,,,,,,,,,,,,,,
2009,Indiana,Midwest Region,6459325,725,"273,803",273.803,,,,,,,,,,,,,,
2009,Iowa,Midwest Region,3032870,179,"120,233",120.233,,,,,,,,,,,,,,
2009,Kansas,Midwest Region,2832704,292,"142,984",142.984,,,,,,,,,,,,,,
2009,Kentucky,South Region,4317074,551,"2,189,578",2189.578,,,,,,,,,,,,,,
2009,Louisiana,South Region,4491648,800,"247,084",247.084,,,,,,,,,,,,,,
2009,Maine,Northeast Region,1329590,121,"60,955",60.955,,,,,,,,,,,,,,
2009,Maryland,South Region,5730388,568,"95,191",95.191,,,,,,,,,,,,,,
2009,Massachusetts,Northeast Region,6517613,199,"98,864",98.864,,,,,,,,,,,,,,
2009,Michigan,Midwest Region,9901591,1082,"362,172",362.172,,,,,,,,,,,,,,
2009,Minnesota,Midwest Region,5281203,327,"285,130",285.13,,,,,,,,,,,,,,
2009,Mississippi,South Region,2958774,482,"167,057",167.057,,,,,,,,,,,,,,
2009,Missouri,Midwest Region,5961088,810,"355,678",355.678,,,,,,,,,,,,,,
2009,Montana,West Region,983982,157,"101,976",101.976,,,,,,,,,,,,,,
2009,Nebraska,Midwest Region,1812683,124,"59,328",59.328,,,,,,,,,,,,,,
2009,Nevada,West Region,2684665,392,"107,343",107.343,,,,,,,,,,,,,,
2009,New Hampshire,Northeast Region,1316102,82,"76,102",76.102,,,,,,,,,,,,,,
2009,New Jersey,Northeast Region,8755602,402,"55,533",55.533,,,,,,,,,,,,,,
2009,New Mexico,West Region,2036802,284,"106,854",106.854,,,,,,,,,,,,,,
2009,New York,Northeast Region,19307066,939,"241,165",241.165,,,,,,,,,,,,,,
2009,North Carolina,South Region,9449566,1104,"368,460",368.46,,,,,,,,,,,,,,
2009,North Dakota,Midwest Region,664968,50,"47,962",47.962,,,,,,,,,,,,,,
2009,Ohio,Midwest Region,11528896,975,"395,580",395.58,,,,,,,,,,,,,,
2009,Oklahoma,South Region,3717572,526,"234,562",234.562,,,,,,,,,,,,,,
2009,Oregon,West Region,3808600,400,"185,043",185.043,,,,,,,,,,,,,,
2009,Pennsylvania,Northeast Region,12666858,1331,"641,696",641.696,,,,,,,,,,,,,,
2009,Rhode Island,Northeast Region,1053646,54,"14,799",14.799,,,,,,,,,,,,,,
2009,South Carolina,South Region,4589872,629,"214,584",214.584,,,,,,,,,,,,,,
2009,South Dakota,Midwest Region,807067,71,"63,748",63.748,,,,,,,,,,,,,,
2009,Tennessee,South Region,6306019,965,"408,991",408.991,,,,,,,,,,,,,,
2009,Texas,South Region,24801761,2665,"1,014,015",1014.015,,,,,,,,,,,,,,
2009,Utah,West Region,2723421,247,"256,136",256.136,,,,,,,,,,,,,,
2009,Vermont,Northeast Region,624817,59,"23,085",23.085,,,,,,,,,,,,,,
2009,Virginia,South Region,7925937,812,"296,463",296.463,,,,,,,,,,,,,,
2009,Washington,West Region,6667426,588,"336,732",336.732,,,,,,,,,,,,,,
2009,West Virginia,South Region,1847775,251,"156,831",156.831,,,,,,,,,,,,,,
2009,Wisconsin,Midwest Region,5669264,448,"196,951",196.951,,,,,,,,,,,,,,
2009,Wyoming,West Region,559851,92,"51,395",51.395,,,,,,,,,,,,,,
2010,Alabama,South Region,4779736,772,"308,607",308.607,,,,,,,,,,,,,,
2010,Alaska,West Region,710231,137,"65,909",65.909,,,,,,,,,,,,,,
2010,Arizona,West Region,6392017,919,"206,050",206.05,,,,,,,,,,,,,,
2010,Arkansas,South Region,2915918,412,"191,448",191.448,,,,,,,,,,,,,,
2010,California,West Region,37253956,2871,"816,399",816.399,,,,,,,,,,,,,,
2010,Colorado,West Region,5029196,524,"300,820",300.82,,,,,,,,,,,,,,
2010,Connecticut,Northeast Region,3574097,208,"179,595",179.595,,,,,,,,,,,,,,
2010,Delaware,South Region,897934,88,"19,240",19.24,,,,,,,,,,,,,,
2010,District of Columbia,South Region,601723,97,349,0.349,,,,,,,,,,,,,,
2010,Florida,South Region,18801310,2251,"559,347",559.347,,,,,,,,,,,,,,
2010,Georgia,South Region,9687653,1216,"333,247",333.247,,,,,,,,,,,,,,
2010,Hawaii,West Region,1360301,37,"10,533",10.533,,,,,,,,,,,,,,
2010,Idaho,West Region,1567582,194,"92,031",92.031,,,,,,,,,,,,,,
2010,Illinois,Midwest Region,12830632,1054,"695,300",695.3,,,,,,,,,,,,,,
2010,Indiana,Midwest Region,6483802,696,"345,650",345.65,,,,,,,,,,,,,,
2010,Iowa,Midwest Region,3046355,211,"124,738",124.738,,,,,,,,,,,,,,
2010,Kansas,Midwest Region,2853118,290,"144,156",144.156,,,,,,,,,,,,,,
2010,Kentucky,South Region,4339367,545,"2,385,579",2385.579,,,,,,,,,,,,,,
2010,Louisiana,South Region,4533372,860,"239,204",239.204,,,,,,,,,,,,,,
2010,Maine,Northeast Region,1328361,108,"65,988",65.988,,,,,,,,,,,,,,
