"","Country","Region","Year","Population","Life.Expectancy","Health.Expenditure"
"127","Philippines","East Asia & Pacific",1995,69255386,66.01853659,36.91565447
"128","Poland","Europe & Central Asia",1995,38594998,71.89268293,198.9525321
"129","Portugal","Europe & Central Asia",1995,10030376,75.31219512,873.8012851
"130","Qatar","Middle East & North Africa",1995,501371,75.28273171,601.2919169
"131","Romania","Europe & Central Asia",1995,22684270,69.45609756,53.46326946
"132","Russian Federation","Europe & Central Asia",1995,148141000,65.22121951,112.9984123
"133","Rwanda","Sub-Saharan Africa",1995,5570206,30.47317073,10.3458127
"134","Samoa","East Asia & Pacific",1995,168257,67.51502439,55.92837495
"135","Sao Tome and Principe","Sub-Saharan Africa",1995,127935,61.6612439,58.91974358
"136","Saudi Arabia","Middle East & North Africa",1995,18491845,70.47268293,227.993044
"137","Senegal","Sub-Saharan Africa",1995,8369125,54.36307317,22.93506421
"138","Sierra Leone","Sub-Saharan Africa",1995,3898363,37.20870732,34.18819945
"139","Singapore","East Asia & Pacific",1995,3524500,76.39512195,379.1411429
"140","Slovak Republic","Europe & Central Asia",1995,5361999,72.25365854,221.4541447
"141","Slovenia","Europe & Central Asia",1995,1989872,73.95853659,785.0682234
"142","Solomon Islands","East Asia & Pacific",1995,356404,59.69595122,47.31181921
"143","Somalia","Sub-Saharan Africa",1995,6524697,44.71217073,4.617992892
"144","South Africa","Sub-Saharan Africa",1995,39120000,59.88741463,270.9442208
"145","Spain","Europe & Central Asia",1995,39387017,77.98073171,1127.904409
"146","Sri Lanka","South Asia",1995,18136000,69.22885366,24.50414947
"147","St. Lucia","Latin America & Caribbean",1995,145437,71.43414634,181.0605384
"148","St. Vincent and the Grenadines","Latin America & Caribbean",1995,108087,70.01841463,109.9173002
"149","Sudan","Sub-Saharan Africa",1995,24538815,54.29097561,15.50589319
"150","Suriname","Latin America & Caribbean",1995,435920,67.80585366,82.49559126
"151","Swaziland","Sub-Saharan Africa",1995,963591,56.39373171,87.45248949
"152","Sweden","Europe & Central Asia",1995,8826939,78.7404878,2288.950104
"153","Switzerland","Europe & Central Asia",1995,7040687,78.41707317,4270.824645
"154","Syrian Arab Republic","Middle East & North Africa",1995,14171130,72.83553659,51.69369976
"155","Tajikistan","Europe & Central Asia",1995,5775404,62.37460976,3.05721148
"156","Tanzania","Sub-Saharan Africa",1995,29943732,49.5737561,6.282208132
"157","Thailand","East Asia & Pacific",1995,59650157,72.26117073,99.47389707
"158","Togo","Sub-Saharan Africa",1995,4085492,54.05009756,17.29147986
"159","Tonga","East Asia & Pacific",1995,95907,70.11926829,87.23481575
"160","Trinidad and Tobago","Latin America & Caribbean",1995,1261443,68.99709756,198.1865467
"161","Tunisia","Middle East & North Africa",1995,8957500,71.35365854,129.5635684
"162","Turkey","Europe & Central Asia",1995,58864649,66.07309756,95.49118806
"163","Turkmenistan","Europe & Central Asia",1995,4188010,63.03073171,43.02047946
"164","Uganda","Sub-Saharan Africa",1995,20831075,44.86529268,15.30524819
"165","Ukraine","Europe & Central Asia",1995,51512298.61,67.11707317,49.06154122
"166","United Arab Emirates","Middle East & North Africa",1995,2348539,73.43485366,737.9431078
"167","United Kingdom","Europe & Central Asia",1995,58019030,76.83658537,1362.195446
"168","United States","North America",1995,266278000,75.62195122,3747.692121
"169","Uruguay","Latin America & Caribbean",1995,3223401,73.47626829,934.1144209
"170","Uzbekistan","Europe & Central Asia",1995,22785000,66.31760976,28.65832202
"171","Vanuatu","East Asia & Pacific",1995,168263,65.45934146,43.21763981
"172","Venezuela, RB","Latin America & Caribbean",1995,22043000,72.1695122,143.865097
"173","Vietnam","East Asia & Pacific",1995,71995500,69.43168293,14.53484289
"174","Yemen, Rep.","Middle East & North Africa",1995,15148172,57.37890244,39.47933316
"175","Zambia","Sub-Saharan Africa",1995,8919456,43.51526829,21.83678219
"176","Zimbabwe","Sub-Saharan Africa",1995,11684693,53.09839024,97.73810755
"177","Albania","Europe & Central Asia",1996,3112597,72.24107317,43.04585912
"178","Algeria","Middle East & North Africa",1996,28786855,68.7344878,61.7699582
"179","Angola","Sub-Saharan Africa",1996,12452725,42.50160976,18.53179493
"180","Argentina","Latin America & Caribbean",1996,35287113,72.84629268,619.1318441
"181","Armenia","Europe & Central Asia",1996,3172185,69.02943902,29.26083051
"182","Australia","East Asia & Pacific",1996,18311000,78.07804878,1760.462837
"183","Austria","Europe & Central Asia",1996,7959017,76.98365854,2811.081798
"184","Azerbaijan","Europe & Central Asia",1996,7763000,64.994,24.80044296
"185","Bahamas, The","Latin America & Caribbean",1996,283677,70.34804878,879.8801445
"186","Bahrain","Middle East & North Africa",1996,574914,73.2802439,485.8072241
"187","Bangladesh","South Asia",1996,119928682,62.66212195,11.49715689
"188","Barbados","Latin America & Caribbean",1996,264237,75.04263415,464.9801692
"189","Belarus","Europe & Central Asia",1996,10160000,68.61219512,88.26239934
"190","Belgium","Europe & Central Asia",1996,10156637,77.18731707,2148.286059
"191","Belize","Latin America & Caribbean",1996,222000,73.22114634,103.8966353
"192","Benin","Sub-Saharan Africa",1996,5821985,51.3245122,18.60061854
"193","Bhutan","South Asia",1996,520529,57.62943902,37.46879672
"194","Bolivia","Latin America & Caribbean",1996,7637622,61.48729268,44.82368206
"195","Bosnia and Herzegovina","Europe & Central Asia",1996,3305672,69.71419512,93.97065382
"196","Botswana","Sub-Saharan Africa",1996,1623704,57.47765854,124.9455052
"197","Brazil","Latin America & Caribbean",1996,164342524,68.73156098,349.931989
"198","Brunei Darussalam","East Asia & Pacific",1996,297188,75.22392683,637.7559702
"199","Bulgaria","Europe & Central Asia",1996,8362826,70.89731707,55.27925164
"200","Burkina Faso","Sub-Saharan Africa",1996,10992170,49.15943902,11.86230176
"201","Burundi","Sub-Saharan Africa",1996,6140258,44.75841463,8.055769405
"202","Cambodia","East Asia & Pacific",1996,11458858,56.25726829,29.06056863
"203","Cameroon","Sub-Saharan Africa",1996,14287475,51.59990244,34.47433331
"204","Canada","North America",1996,29671900,78.2304878,1828.837371
"205","Cape Verde","Sub-Saharan Africa",1996,404166,67.60319512,60.25957229
"206","Central African Republic","Sub-Saharan Africa",1996,3406451,45.48017073,11.83849103
"207","Chad","Sub-Saharan Africa",1996,7219081,49.58585366,12.22629272
"208","Chile","Latin America & Caribbean",1996,14630769,75.33963415,373.0966799
"209","China","East Asia & Pacific",1996,1217550000,70.59902439,26.43395356
"210","Colombia","Latin America & Caribbean",1996,37112621,69.75760976,213.6164725
"211","Comoros","Sub-Saharan Africa",1996,507062,56.94214634,20.60519301
"212","Congo, Dem. Rep.","Sub-Saharan Africa",1996,45295039,45.59668293,4.249300939
"213","Congo, Rep.","Sub-Saharan Africa",1996,2810118,54.42146341,25.88431619
"214","Costa Rica","Latin America & Caribbean",1996,3557095,77.02165854,221.457935
"215","Cote d'Ivoire","Sub-Saharan Africa",1996,15089912,50.74712195,44.70398662
"216","Croatia","Europe & Central Asia",1996,4494000,72.36536585,369.1260043
"217","Cuba","Latin America & Caribbean",1996,10949206,75.4572439,119.355224
"218","Cyprus","Europe & Central Asia",1996,873277,77.4057561,754.9958554
"219","Czech Republic","Europe & Central Asia",1996,10315241,73.71463415,403.3384441
"220","Denmark","Europe & Central Asia",1996,5263074,75.59146341,2878.187882
"221","Djibouti","Middle East & North Africa",1996,644434,52.86539024,30.67193109
"222","Dominican Republic","Latin America & Caribbean",1996,8054768,69.85960976,112.4990954
"223","Ecuador","Latin America & Caribbean",1996,11584074,71.70946341,80.84272201
"224","Egypt, Arab Rep.","Middle East & North Africa",1996,63120498,66.33558537,45.61968968
"225","El Salvador","Latin America & Caribbean",1996,5791403,69.11129268,134.993196
"226","Equatorial Guinea","Sub-Saharan Africa",1996,457321,48.4,26.50892425
"227","Eritrea","Sub-Saharan Africa",1996,3263016,53.227,7.760802627
"228","Estonia","Europe & Central Asia",1996,1415594,69.61219512,218.0862889
"229","Ethiopia","Sub-Saharan Africa",1996,58774378,49.77526829,4.222360416
"230","Fiji","East Asia & Pacific",1996,784713,66.8402439,87.28135888
"231","Finland","Europe & Central Asia",1996,5124573,76.69341463,2011.353485
"232","France","Europe & Central Asia",1996,59798609,77.95365854,2738.562538
"233","Gabon","Sub-Saharan Africa",1996,1118215,60.87943902,150.2005121
"234","Gambia, The","Sub-Saharan Africa",1996,1158308,53.95963415,24.65505556
"235","Georgia","Europe & Central Asia",1996,4616100,70.62929268,45.96064889
"236","Germany","Europe & Central Asia",1996,81914831,76.67317073,3100.753783
"237","Ghana","Sub-Saharan Africa",1996,17429209,57.9684878,20.44699322
"238","Greece","Europe & Central Asia",1996,10709173,77.68536585,1112.598367
"239","Grenada","Latin America & Caribbean",1996,100707,72.05968293,203.4322866
"240","Guatemala","Latin America & Caribbean",1996,10246429,65.54380488,55.67396767
"241","Guinea","Sub-Saharan Africa",1996,7805735,46.04882927,27.78160698
"242","Guinea-Bissau","Sub-Saharan Africa",1996,1147908,43.8855122,20.2808109
"243","Guyana","Latin America & Caribbean",1996,728990,62.64787805,47.86845951
"244","Haiti","Latin America & Caribbean",1996,8031903,57.46107317,23.84424143
"245","Honduras","Latin America & Caribbean",1996,5706605,69.05453659,35.48307283
"246","Hungary","Europe & Central Asia",1996,10311238,70.32878049,315.3165681
"247","Iceland","Europe & Central Asia",1996,268916,78.77780488,2274.576366
"248","India","South Asia",1996,982553253,60.17860976,15.85800609
"249","Indonesia","East Asia & Pacific",1996,202257039,64.32780488,22.45919155
"250","Iran, Islamic Rep.","Middle East & North Africa",1996,60815686,68.60319512,86.20833046
"251","Iraq","Middle East & North Africa",1996,21545638,71.31178049,8.532080636
"252","Ireland","Europe & Central Asia",1996,3637510,75.78536585,1328.207138
"253","Israel","Middle East & North Africa",1996,5692000,78.10487805,1421.778459
"254","Italy","Europe & Central Asia",1996,56860281,78.33195122,1634.46979
"255","Jamaica","Latin America & Caribbean",1996,2509923.425,70.25526829,123.0235648
"256","Japan","East Asia & Pacific",1996,125761000,80.2002439,2600.126773
"257","Jordan","Middle East & North Africa",1996,4325045,71.56109756,132.2225268
"258","Kazakhstan","Europe & Central Asia",1996,15577894.26,64.1097561,58.14490015
"259","Kenya","Sub-Saharan Africa",1996,28191597,55.23631707,17.72541265
"260","Korea, Rep.","East Asia & Pacific",1996,45525000,73.82109756,493.5892529
"261","Kuwait","Middle East & North Africa",1996,1628120,73.39565854,670.2866372
"262","Kyrgyz Republic","Europe & Central Asia",1996,4628400,66.54390244,24.751517
"263","Lao PDR","East Asia & Pacific",1996,4907960,58.89558537,17.57613179
"264","Latvia","Europe & Central Asia",1996,2457222,68.77658537,140.7090756
"265","Lebanon","Middle East & North Africa",1996,3539137,70.0154878,414.4023495
"266","Lesotho","Sub-Saharan Africa",1996,1829222,55.25160976,34.41202173
"267","Liberia","Sub-Saharan Africa",1996,2203809,42.62707317,0
"268","Libya","Middle East & North Africa",1996,4862665,71.13378049,190.2346902
"269","Lithuania","Europe & Central Asia",1996,3601613,70.10804878,130.6363838
"270","Luxembourg","Europe & Central Asia",1996,414225,76.5195122,2810.233395
"271","Macedonia, FYR","Europe & Central Asia",1996,1973283,72.25019512,202.2720334
"272","Madagascar","Sub-Saharan Africa",1996,13547271,55.80307317,9.302407353
"273","Malawi","Sub-Saharan Africa",1996,10070605,46.41214634,10.45025529
"274","Malaysia","East Asia & Pacific",1996,21247102,71.3685122,136.7372325
"275","Maldives","South Asia",1996,253960,66.25185366,112.0258252
"276","Mali","Sub-Saharan Africa",1996,10092753,46.01304878,21.58289635
"277","Malta","Middle East & North Africa",1996,372687,77.2902439,639.5736176
"278","Mauritania","Sub-Saharan Africa",1996,2357678,56.73146341,23.30843362
"279","Mauritius","Sub-Saharan Africa",1996,1133996,70.32292683,135.4311103
"280","Mexico","Latin America & Caribbean",1996,93858373,73.09429268,184.1060703
"281","Micronesia, Fed. Sts.","East Asia & Pacific",1996,107904,66.86770732,174.5158354
"282","Moldova","Europe & Central Asia",1996,3667748,66.61812195,40.14913409
"283","Mongolia","East Asia & Pacific",1996,2325369,61.49907317,20.53055637
"284","Montenegro","Europe & Central Asia",1996,644121,75.68431707,98.48825995
"285","Morocco","Middle East & North Africa",1996,27323664,67.04836585,51.5572843
"286","Mozambique","Sub-Saharan Africa",1996,16412893,45.91082927,8.458423576
"287","Myanmar","East Asia & Pacific",1996,42735941,60.52641463,2.530114667
"288","Namibia","Sub-Saharan Africa",1996,1700975,59.95790244,134.7092741
"289","Nepal","South Asia",1996,22137784,58.2735122,10.7466985
"290","Netherlands","Europe & Central Asia",1996,15530498,77.43560976,2210.615552
"291","New Zealand","East Asia & Pacific",1996,3732000,76.78780488,1277.928324
"292","Nicaragua","Latin America & Caribbean",1996,4733164,67.78190244,58.33204443
"293","Niger","Sub-Saharan Africa",1996,9499892,45.22534146,6.759058726
"294","Nigeria","Sub-Saharan Africa",1996,112618306,45.13321951,52.92157555
"295","Norway","Europe & Central Asia",1996,4381336,78.1504878,3180.385132
"296","Oman","Middle East & North Africa",1996,2258730,73.29053659,237.8275928
"297","Pakistan","South Asia",1996,130737306,62.282,15.0987552
"298","Panama","Latin America & Caribbean",1996,2731717,73.46585366,245.12047
"299","Papua New Guinea","East Asia & Pacific",1996,4840693,57.63085366,38.85140858
"300","Paraguay","Latin America & Caribbean",1996,4905150,69.07980488,121.2468697
"301","Peru","Latin America & Caribbean",1996,24248671,68.49209756,103.7652118
"302","Philippines","East Asia & Pacific",1996,70831419,66.18063415,41.42704153
"303","Poland","Europe & Central Asia",1996,38624370,72.24634146,240.4704645
"304","Portugal","Europe & Central Asia",1996,10057861,75.26097561,938.9258094
"305","Qatar","Middle East & North Africa",1996,512422,75.49580488,640.648455
"306","Romania","Europe & Central Asia",1996,22619004,69.10487805,52.87103678
"307","Russian Federation","Europe & Central Asia",1996,147739000,66.19414634,146.6043859
"308","Rwanda","Sub-Saharan Africa",1996,5803830,33.97580488,10.99523552
"309","Samoa","East Asia & Pacific",1996,169969,67.95426829,69.31246841
"310","San Marino","Europe & Central Asia",1996,25897,79.1195122,2929.517227
"311","Sao Tome and Principe","Sub-Saharan Africa",1996,130499,61.80363415,69.78489687
"312","Saudi Arabia","Middle East & North Africa",1996,18786467,70.69560976,248.3618144
"313","Senegal","Sub-Saharan Africa",1996,8591861,54.60453659,24.08110977
"314","Sierra Leone","Sub-Saharan Africa",1996,3898177,37.41887805,37.00160833
"315","Singapore","East Asia & Pacific",1996,3670700,76.74634146,769.7657191
"316","Slovak Republic","Europe & Central Asia",1996,5373361,72.65365854,253.4417282
"317","Slovenia","Europe & Central Asia",1996,1988628,74.45853659,811.8607602
"318","Solomon Islands","East Asia & Pacific",1996,366363,60.29658537,46.57937916
"319","Somalia","Sub-Saharan Africa",1996,6628554,45.42792683,4.93193825
"320","South Africa","Sub-Saharan Africa",1996,40000246.95,59.06270732,271.1459139
"321","Spain","Europe & Central Asia",1996,39478186,78.1204878,1176.675537
"322","Sri Lanka","South Asia",1996,18336000,69.1782439,26.13269018
"323","St. Lucia","Latin America & Caribbean",1996,147062,71.54878049,208.6694843
"324","St. Vincent and the Grenadines","Latin America & Caribbean",1996,108049,70.10019512,115.8503481
"325","Sudan","Sub-Saharan Africa",1996,25160191,54.71034146,11.47487823
"326","Suriname","Latin America & Caribbean",1996,441896,67.83597561,144.347836
"327","Swaziland","Sub-Saharan Africa",1996,984632,55.008,87.95654767
"328","Sweden","Europe & Central Asia",1996,8840998,78.95902439,2564.233203
"329","Switzerland","Europe & Central Asia",1996,7071850,78.89609756,4266.357113
"330","Syrian Arab Republic","Middle East & North Africa",1996,14518843,73.11295122,59.48382827
"331","Tajikistan","Europe & Central Asia",1996,5860334,62.56131707,5.52973549
"332","Tanzania","Sub-Saharan Africa",1996,30783155,49.56763415,7.227818606
"333","Thailand","East Asia & Pacific",1996,60258113,72.25392683,115.9729658
"334","Togo","Sub-Saharan Africa",1996,4208738,54.21117073,18.21428139
"335","Tonga","East Asia & Pacific",1996,96196,70.2385122,96.20535153
"336","Trinidad and Tobago","Latin America & Caribbean",1996,1268851,68.91290244,196.5735109
"337","Tunisia","Middle East & North Africa",1996,9089300,71.55365854,128.4128387
"338","Turkey","Europe & Central Asia",1996,59821978,66.74597561,116.6936064
"339","Turkmenistan","Europe & Central Asia",1996,4267690,63.2077561,18.099747
"340","Uganda","Sub-Saharan Africa",1996,21473592,44.7917561,14.90511467
"341","Ukraine","Europe & Central Asia",1996,51057188.98,67.31073171,53.81212448
"342","United Arab Emirates","Middle East & North Africa",1996,2473983,73.68009756,731.2627993
"343","United Kingdom","Europe & Central Asia",1996,58166950,77.08780488,1435.140089
"344","United States","North America",1996,269394000,75.99658537,3899.976933
"345","Uruguay","Latin America & Caribbean",1996,3235549,73.52804878,821.8951744
"346","Uzbekistan","Europe & Central Asia",1996,23225000,66.43263415,40.74676417
"347","Vanuatu","East Asia & Pacific",1996,171783,65.8994878,38.92579119
"348","Venezuela, RB","Latin America & Caribbean",1996,22502000,72.3795122,105.9768924
"349","Vietnam","East Asia & Pacific",1996,73156700,69.98985366,16.58291879
"350","Yemen, Rep.","Middle East & North Africa",1996,15710211,57.72378049,25.0885402
"351","Zambia","Sub-Saharan Africa",1996,9161931,43.0084878,21.01976226
"352","Zimbabwe","Sub-Saharan Africa",1996,11891290,51.12426829,98.85423058
"353","Albania","Europe & Central Asia",1997,3091902,72.69607317,36.13520839
"354","Algeria","Middle East & North Africa",1997,29242917,69.02565854,66.89333634
"355","Angola","Sub-Saharan Africa",1997,12792237,43.06163415,28.4047932
"356","Antigua and Barbuda","Latin America & Caribbean",1997,72322,74.73170732,372.3061575
"357","Argentina","Latin America & Caribbean",1997,35714929,73.06739024,685.9666339
"358","Armenia","Europe & Central Asia",1997,3134836,69.49163415,30.28430879
"359","Australia","East Asia & Pacific",1997,18517000,78.4804878,1761.073558
"360","Austria","Europe & Central Asia",1997,7968041,77.38756098,2559.309244
"361","Azerbaijan","Europe & Central Asia",1997,7838250,65.46239024,27.29444862
"362","Bahamas, The","Latin America & Caribbean",1997,287217,70.66270732,958.6658311
"363","Bahrain","Middle East & North Africa",1997,592986,73.41346341,504.1904908
